Stn_Id,Stn_Name,CIMIS_Region,Date,Hour_(PST),Jul,ETo_(in),qc,Precip_(in),qc,Sol_Rad_(Ly/day),qc,Vap_Pres_(mBars),qc,Air_Temp_(F),qc,Rel_Hum (%),qc,Dew_Point_(F),qc,Wind_Speed_(mph),qc,Wind_Dir (0-360),qc,Soil_Temp_(F),qc
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0100,305,0.00, ,0.00, ,0, ,1.9, ,49.9, ,15, ,4.6, ,4.5, ,147, ,56.1, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0200,305,0.00, ,0.00, ,0, ,2.3, ,48.5, ,19, ,8.7, ,5.1, ,148, ,56.2, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0300,305,0.00, ,0.00, ,0, ,2.3, ,46.9, ,21, ,9.5, ,2.6, ,157, ,55.5, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0400,305,0.00, ,0.00, ,0, ,2.6, ,46.8, ,24, ,11.8, ,3.8, ,138, ,55.8, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0500,305,0.00, ,0.00, ,0, ,2.2, ,47.6, ,19, ,7.6, ,4.1, ,148, ,55.5, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0600,305,0.00, ,0.00, ,1, ,2.7, ,45.7, ,26, ,12.9, ,3.4, ,148, ,55.2, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0700,305,0.00, ,0.00, ,119, ,2.5, ,47.3, ,22, ,10.7, ,3.5, ,151, ,55.0, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0800,305,0.00, ,0.00, ,509, ,2.7, ,55.7, ,18, ,12.9, ,2.7, ,137, ,54.9, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,0900,305,0.01, ,0.00, ,944, ,2.3, ,66.8, ,10, ,9.2, ,2.9, ,128, ,54.7, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1000,305,0.01, ,0.00, ,1288, ,1.5, ,72.8, ,5, ,-0.4, ,4.1, ,97, ,54.5, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1100,305,0.02, ,0.00, ,1490, ,1.4, ,75.8, ,5, ,-1.0, ,5.0, ,93, ,54.6, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1200,305,0.02, ,0.00, ,1565, ,1.4, ,78.0, ,4, ,-1.1, ,4.3, ,348, ,54.8, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1300,305,0.02, ,0.00, ,1499, ,1.6, ,79.6, ,5, ,0.7, ,4.0, ,295, ,55.0, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1400,305,0.02, ,0.00, ,1288, ,1.5, ,81.2, ,4, ,-0.4, ,7.8, ,339, ,55.3,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1500,305,0.01, ,0.00, ,961, ,1.2, ,81.1, ,3, ,-4.1, ,9.5, ,338, ,55.6,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1600,305,0.01, ,0.00, ,541, ,1.2, ,80.1, ,3, ,-5.3, ,9.4, ,346, ,56.1,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1700,305,0.01, ,0.00, ,138, ,1.1, ,76.8, ,4, ,-5.8, ,8.2, ,8, ,55.9,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1800,305,0.00, ,0.00, ,3, ,1.3, ,73.0, ,5, ,-3.9, ,5.9, ,29, ,55.8,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,1900,305,0.00, ,0.00, ,1, ,1.2, ,70.1, ,5, ,-4.3, ,4.8, ,64, ,55.8,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,2000,305,0.00, ,0.00, ,1, ,1.7, ,63.4, ,9, ,2.8, ,3.4, ,126, ,55.8,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,2100,305,0.00, ,0.00, ,0, ,2.1, ,57.5, ,13, ,7.3, ,3.3, ,143, ,55.8,Y
44,U.C. Riverside,Los Angeles Basin,11/1/2019,2200,305,0.00, ,0.00, ,0, ,1.8, ,57.8, ,11, ,3.3, ,3.4, ,134, ,55.9, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,2300,305,0.00, ,0.00, ,0, ,1.8, ,57.6, ,11, ,3.9, ,3.8, ,149, ,55.9, 
44,U.C. Riverside,Los Angeles Basin,11/1/2019,2400,305,0.00, ,0.00, ,0, ,2.1, ,55.3, ,14, ,6.9, ,3.3, ,131, ,55.8, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0100,306,0.00, ,0.00, ,0, ,2.1, ,55.3, ,14, ,7.2, ,3.6, ,139, ,55.7, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0200,306,0.00, ,0.00, ,0, ,2.1, ,55.7, ,14, ,6.9, ,4.4, ,150, ,55.5, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0300,306,0.00, ,0.00, ,0, ,2.0, ,55.5, ,14, ,6.4, ,4.3, ,153, ,55.4, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0400,306,0.00, ,0.00, ,0, ,2.1, ,55.4, ,14, ,6.8, ,4.3, ,147, ,55.3, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0500,306,0.00, ,0.00, ,0, ,2.0, ,55.7, ,13, ,6.5, ,4.4, ,141, ,55.3, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0600,306,0.00, ,0.00, ,1, ,2.3, ,55.0, ,16, ,9.2, ,3.4, ,137, ,55.2, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0700,306,0.00, ,0.00, ,93, ,2.3, ,56.2, ,15, ,9.0, ,4.5, ,140, ,55.1, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0800,306,0.01, ,0.00, ,535, ,2.6, ,63.6, ,13, ,12.2, ,4.3, ,133, ,55.2, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,0900,306,0.01, ,0.00, ,907, ,3.6, ,71.8, ,13, ,19.2, ,1.9, ,254, ,55.7, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1000,306,0.01, ,0.00, ,1185, ,1.7, ,76.7, ,6, ,3.0, ,3.3, ,7, ,55.4, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1100,306,0.02, ,0.00, ,1253, ,1.8, ,79.3, ,5, ,3.4, ,2.7, ,18, ,55.5, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1200,306,0.02, ,0.00, ,1105, ,2.1, ,81.4, ,6, ,6.7, ,7.1, ,359, ,55.4, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1300,306,0.02, ,0.00, ,1521, ,2.4, ,82.7, ,6, ,9.8, ,6.8, ,6, ,55.5, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1400,306,0.02, ,0.00, ,1328, ,2.3, ,83.6, ,6, ,8.7, ,8.2, ,354, ,55.7, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1500,306,0.01, ,0.00, ,688, ,2.1, ,82.8, ,5, ,7.1, ,8.9, ,356, ,55.9, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1600,306,0.01, ,0.00, ,338, ,2.1, ,81.9, ,6, ,7.0, ,7.6, ,358, ,56.2, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1700,306,0.00, ,0.00, ,62, ,3.8, ,75.9, ,12, ,20.3, ,3.0, ,298, ,56.4, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1800,306,0.00, ,0.00, ,2, ,4.2, ,69.3, ,17, ,23.1, ,1.7, ,91, ,56.6, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,1900,306,0.00, ,0.00, ,0, ,4.4, ,65.2, ,21, ,23.9, ,2.1, ,93, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,2000,306,0.00, ,0.00, ,0, ,4.7, ,62.0, ,25, ,25.4, ,3.1, ,109, ,56.8, 
